Start Count: 0
Watching for changes in count...  Use Ctrl-C to Exit.

|Query Number|Sample Number|Epoch (ms)    |Time (s) |Count             |Linear Reg. Rate  |Rate From Previous|Rate From First   |
|        234 |         104 |1558699652459 |    2330 |      235,615,828 |           99,677 |          295,218 |          100,051 |
|        235 |       ***** |1558699662459 |    2340 |      235,615,828 |           99,677 |                0 |           99,623 |
|        236 |       ***** |1558699672464 |    2350 |      235,615,828 |           99,677 |                0 |           99,199 |
|        237 |       ***** |1558699682460 |    2360 |      235,615,828 |           99,677 |                0 |           98,779 |
|        238 |         105 |1558699692483 |    2370 |      237,130,951 |           99,659 |           37,855 |           99,000 |
|        239 |         106 |1558699702459 |    2380 |      237,879,565 |           99,637 |           75,041 |           98,900 |
|        240 |         107 |1558699712463 |    2390 |      240,131,224 |           99,644 |          225,076 |           99,428 |
|        241 |         108 |1558699722472 |    2400 |      242,314,504 |           99,675 |          218,132 |           99,923 |
|        242 |       ***** |1558699732458 |    2410 |      242,314,504 |           99,675 |                0 |           99,509 |
|        243 |       ***** |1558699742578 |    2420 |      242,314,504 |           99,675 |                0 |           99,093 |
|        244 |       ***** |1558699752461 |    2430 |      242,314,504 |           99,675 |                0 |           98,690 |
|        245 |         109 |1558699762468 |    2440 |      244,527,189 |           99,668 |           55,323 |           99,192 |
|        246 |         110 |1558699772957 |    2450 |      245,990,674 |           99,670 |          139,526 |           99,365 |
|        247 |         111 |1558699782458 |    2460 |      246,708,494 |           99,667 |           75,552 |           99,273 |
|        248 |         112 |1558699792523 |    2470 |      248,274,960 |           99,675 |          155,635 |           99,502 |
|        249 |         113 |1558699802459 |    2480 |      249,109,268 |           99,680 |           83,968 |           99,440 |
|        250 |       ***** |1558699812461 |    2490 |      249,109,268 |           99,680 |                0 |           99,041 |
|        251 |       ***** |1558699822467 |    2500 |      249,109,268 |           99,680 |                0 |           98,644 |
|        252 |         114 |1558699832462 |    2510 |      251,370,134 |           99,671 |           75,355 |           99,152 |
|        253 |         115 |1558699842478 |    2520 |      252,841,373 |           99,671 |          146,889 |           99,342 |
|        254 |         116 |1558699852459 |    2530 |      253,598,222 |           99,667 |           75,829 |           99,249 |
|        255 |         117 |1558699862741 |    2540 |      255,974,452 |           99,687 |          231,106 |           99,783 |
|        256 |       ***** |1558699872462 |    2550 |      255,974,452 |           99,687 |                0 |           99,403 |
|        257 |       ***** |1558699882465 |    2560 |      255,974,452 |           99,687 |                0 |           99,014 |
|        258 |         118 |1558699892461 |    2570 |      256,725,800 |           99,667 |           25,281 |           98,921 |
|        259 |         119 |1558699902549 |    2580 |      258,227,780 |           99,657 |          148,888 |           99,117 |
|        260 |         120 |1558699912466 |    2590 |      260,575,924 |           99,670 |          236,780 |           99,644 |
|        261 |         121 |1558699922463 |    2600 |      261,336,436 |           99,679 |           76,074 |           99,553 |
|        262 |         122 |1558699932462 |    2610 |      262,816,021 |           99,695 |          147,973 |           99,739 |
|        263 |       ***** |1558699942462 |    2620 |      262,816,021 |           99,695 |                0 |           99,358 |
|        264 |       ***** |1558699952699 |    2630 |      262,816,021 |           99,695 |                0 |           98,971 |
|        265 |         123 |1558699962469 |    2640 |      264,974,799 |           99,697 |           71,942 |           99,423 |
|        266 |       ***** |1558699973354 |    2650 |      264,974,799 |           99,697 |                0 |           99,015 |
|        267 |         124 |1558699982465 |    2660 |      266,494,836 |           99,692 |           76,017 |           99,247 |
|        268 |         125 |1558699992465 |    2670 |      269,478,029 |           99,718 |          298,319 |           99,992 |
|        269 |       ***** |1558700002469 |    2680 |      269,478,029 |           99,718 |                0 |           99,619 |
|        270 |       ***** |1558700012465 |    2690 |      269,478,029 |           99,718 |                0 |           99,249 |
|        271 |       ***** |1558700022465 |    2700 |      269,478,029 |           99,718 |                0 |           98,881 |
|        272 |         126 |1558700032520 |    2710 |      271,006,162 |           99,704 |           38,151 |           99,078 |
|        273 |         127 |1558700042466 |    2720 |      271,786,658 |           99,688 |           78,473 |           99,003 |
|        274 |         128 |1558700052469 |    2730 |      274,098,088 |           99,693 |          231,074 |           99,487 |
|        275 |         129 |1558700063197 |    2740 |      275,599,079 |           99,703 |          139,913 |           99,645 |
|        276 |         130 |1558700072514 |    2750 |      276,399,864 |           99,712 |           85,949 |           99,599 |
|        277 |       ***** |1558700082466 |    2760 |      276,399,864 |           99,712 |                0 |           99,240 |
|        278 |       ***** |1558700092466 |    2770 |      276,399,864 |           99,712 |                0 |           98,881 |
|        279 |         131 |1558700102762 |    2780 |      278,712,592 |           99,710 |           76,459 |           99,347 |
|        280 |         132 |1558700112472 |    2790 |      279,423,752 |           99,704 |           73,240 |           99,256 |
|        281 |         133 |1558700122916 |    2800 |      280,824,394 |           99,703 |          134,110 |           99,386 |
|        282 |         134 |1558700132473 |    2810 |      281,624,460 |           99,701 |           83,715 |           99,333 |
|        283 |         135 |1558700142638 |    2820 |      282,413,126 |           99,696 |           77,586 |           99,255 |
|        284 |         136 |1558700152492 |    2830 |      283,244,567 |           99,688 |           84,376 |           99,203 |
|        285 |       ***** |1558700162467 |    2840 |      283,244,567 |           99,688 |                0 |           98,854 |
|        286 |         137 |1558700172751 |    2850 |      285,589,048 |           99,686 |          115,725 |           99,320 |
